x,y,rho,ux,uy
0,0,0.913313,0.0909091,0
0,1,0.868842,0.0909091,0.0159768
0,2,0.860395,0.0909091,-0.000865539
0,3,0.864233,0.0909091,-0.000483447
0,4,0.861644,0.0909091,0.00161846
0,5,0.858852,0.0909091,0.000591528
0,6,0.858943,0.0909091,-9.9483e-05
0,7,0.858835,0.0909091,0.000158681
0,8,0.858454,0.0909091,0.000121595
0,9,0.85843,0.0909091,-5.40432e-05
0,10,0.858684,0.0909091,-0.000113943
0,11,0.858961,0.0909091,-0.000130824
0,12,0.859335,0.0909091,-0.000185903
0,13,0.859833,0.0909091,-0.000235699
0,14,0.860423,0.0909091,-0.00027022
0,15,0.861082,0.0909091,-0.000302504
0,16,0.861818,0.0909091,-0.000336429
0,17,0.862627,0.0909091,-0.000366395
0,18,0.863499,0.0909091,-0.000393173
0,19,0.864429,0.0909091,-0.000418255
0,20,0.865415,0.0909091,-0.000441553
0,21,0.866451,0.0909091,-0.000462434
0,22,0.867532,0.0909091,-0.000481121
0,23,0.868653,0.0909091,-0.000497663
0,24,0.86981,0.0909091,-0.000511914
0,25,0.870997,0.0909091,-0.000523725
0,26,0.872209,0.0909091,-0.00053304
0,27,0.873439,0.0909091,-0.000539755
0,28,0.874682,0.0909091,-0.000543755
0,29,0.875932,0.0909091,-0.00054494
0,30,0.877182,0.0909091,-0.000543231
0,31,0.878425,0.0909091,-0.000538557
0,32,0.879655,0.0909091,-0.000530865
0,33,0.880865,0.0909091,-0.000520127
0,34,0.882047,0.0909091,-0.000506342
0,35,0.883195,0.0909091,-0.000489533
0,36,0.884301,0.0909091,-0.000469752
0,37,0.88536,0.0909091,-0.000447081
0,38,0.886363,0.0909091,-0.00042163
0,39,0.887306,0.0909091,-0.000393537
0,40,0.888182,0.0909091,-0.000362965
0,41,0.888985,0.0909091,-0.000330105
0,42,0.889711,0.0909091,-0.000295166
0,43,0.890353,0.0909091,-0.000258378
0,44,0.890909,0.0909091,-0.000219987
0,45,0.891375,0.0909091,-0.000180252
0,46,0.891748,0.0909091,-0.000139442
0,47,0.892024,0.0909091,-9.78292e-05
0,48,0.892204,0.0909091,-5.56905e-05
0,49,0.892285,0.0909091,-1.33012e-05
0,50,0.892268,0.0909091,2.90672e-05
